plant,sunlight,soil_condition,moisture_level,hardiness_zones,lifecycle,difficulty,height,spread,time_to_mature,flower_color,foliage_color,shape,frost_tolerance,special_att1,special_att2,special_use,link
Lettuce,full sunlight or partial shade,well drained,well drained,"8, 9, 10",annual,1,0.5 to 2 feet,0.5 to 2 feet,50 - 75 days,n/a,"light, medium, and dark green, red, purple, and variegated","cushion, mount, or clump",medium,"Not native to North America - Mediterranean origin. Was cultivated by Egyptians 6,500 years ago.",none,edible landscaping,https://www.almanac.com/video/lettuce
Mustard Greens,full sunlight or partial shade,well drained,consistent,"6, 7, 8, 9, 10, 11",annual,1,0.5 to 2 feet,1 to 2 feet,40 - 60 days,yellow,"medium/dark green, red, and purple","cushion, mound, or clump",medium,This plant is a little boring but we still love it!,none,edible landscaping,https://www.gardeningknowhow.com/edible/vegetables/greens/growing-mustard-greens.htm
Onions,full,well drained and high fertility,plentiful,"5, 6",annual,2,1 to 3 feet,0.5 to 1 foot,90 - 120 days,n/a,medium green,upright,medium,Not native to North America - unknown in wild. Probably originated in the Middle East or Asia.,none,edible landscaping,https://www.almanac.com/plant/onions
Parsnips,full sunlight or partial shade,well drained,medium,"2, 3, 4, 5, 6, 7, 8, 9",annual,2,2 to 3 feet,0.5 to 1 foot,100 - 120,n/a,medium green,"cushion, mound, or clump",medium,Not native to North America - Mediterranean origin.,none,none,https://www.almanac.com/plant/parsnips
Peas,full sunlight or partial shade,well drained,medium,"6, 7, 8",annual,1,1 to 8 feet,0.5 to 1 foot,60 - 70 days,violet and white,light and blue-green,climbing/vine,medium,"Not native to North America - domesticated by Neolithic farmers in the Near East at least 8,000 to 9,000 years ago.",none,edible landscaping,https://www.almanac.com/plant/peas
Peppers,full,well drained,consistent,"9, 10, 11",annual,2,1 to 3 feet,1 to 3 feet,60 - 90 days,white,dark green,upright,low,Not native to North America - native to tropical America.,"Bears ornamental fruit - green bell peppers turn red when fully ripe. Other varieties are yellow, orange, purple and chocolate brown. Hot peppers, chiles, and others come in many interesting shapes.",edible landscaping,https://www.almanac.com/plant/bell-peppers
Potatoes,full,high acid and well drained,consistent,"3, 4, 5, 6, 7, 8, 9, 10",annual,1,1.5 to 3 feet,1.5 to 3 feet,80 - 100 days,violet,medium green,"cushion, mound, or clump",medium,Not native to North America - native to the Andes Mountains in South America.,none,none,https://www.almanac.com/plant/potatoes
Pumpkins,full,well drained and high fertility,consistent,"3, 4, 5, 6, 7",annual,1,1.5 to 3 feet,5 to 15 feet,90 - 120 days,yellow,medium green,low/trailing and climbing/vine,medium,Native to North America - originated in Central America.,"Bears ornamental fruit - usually orange (sometimes mottled with green), but some varieties, such as Lumina and Valenciano, are white",none,https://www.almanac.com/plant/pumpkins
Radishes,full sunlight or partial shade,well drained,consistent,"2, 3, 4, 5, 6, 7, 8, 9, 10",annual,1,0.5 to 1.5 feet,0.5 to 0.75 feet,35 - 45 days,n/a,medium green,"cushion, mound, or clump",medium,Not native to North America - Mediterranean origin,none,none,https://www.almanac.com/plant/radishes
Rhubarb,full sunlight or partial shade,well drained,consistent,"3, 4, 5, 6, 7, 8",perennial,1,2 to 3 feet,3 to 4 feet,2 years,white,medium green,"cusion, mound, or clump",medium,Not native to North America,none,edible landscaping,https://www.almanac.com/plant/rhubarb
Rutabagas,full sunlight or partial shade,well drained and low fertility,medium,"3, 4, 5, 6, 7, 8, 9",annual,1,0.5 to 1 foot,0.5 to 1 foot,80 - 100 days,n/a,medium green,"cushion, mound, or clump",medium,Not native to North America - may have developed from cross between Old World cultivated B. oleracea and wild B. napa .,none,none,https://www.almanac.com/plant/rutabaga
Shallots,full sunlight or partial shade,well drained,consistent,"4, 5, 6, 7, 8, 9, 10",perennial,2,1 to 2 feet,0.5 to 1 foot,90 days,n/a,medium green,upright,medium,Not native to North America - Middle East origin,none,edible landscaping,https://www.almanac.com/growing-shallots-how-plant-shallots-fall
Spinach,full sunlight or partial shade,well drained,consistent,"2, 3, 4, 5, 6, 7, 8, 9",annual,2,0.5 to 1 foot,0.5 to 1 foot,37 - 45 days,n/a,dark green,"cushion, mound, or clump",high,Not native to North America - not known in wild. Thought to be first cultivated in Afghanistan and Tajikistan.,Young plants are highly resilient to frost and temperatures as low as 15 to 20 F,edlible landscaping,https://www.almanac.com/spinach
Summer Squash,full,well drained and high fertility,consistent,"3, 4, 5, 6, 7, 8, 9",annual,1,1 to 3 feet,3 to 15 feet,60 days,yellow,medium green,"cushion, mound, or clump and climbing/vine",low,Native to North America,edible flowers,edible landscaping,https://www.almanac.com/plant/winter-squash
Winter Squash,full,well drained and high fertility,consistent,"3, 4, 5, 6, 7, 8, 9",annual,1,1.5 to 3 feet,3 to 15 feet,80 - 110 days,yellow,medium green,low/training and climbing/vine,low,Native to North America,bears ornamental fruit,edible flowers,https://www.almanac.com/plant/winter-squash
Swiss Chard,full sunlight or partial shade,well drained,consistent,"6, 7, 8, 9, 10",annual,1,1 to 3 feet,0.5 to 2 feet,50 - 60 days,n/a,"medium/dark green, red, purple, and yellow","cushion, mound, or clump, and upright",medium,Not native to North America - domestivated from sild species in the Easter Meditteranean,none,edible landscaping,https://www.almanac.com/plant/swiss-chard
Tomatoes,full,well drained and fertile,consistent,"5, 6, 7, 8",tender annual,2,2 to 6 feet,2 to 6 feet,60 - 100 days,yellow,medium green,"spreading mass, upright, climbing/vine",low,Native to North America - tomatoes were probably domesticated in Mexico and the eastern Andes in South America.,none,edible landscaping,https://www.almanac.com/plant/tomatoes
Turnips,full sunlight or partial shade,well drained,consistent,"2, 3, 4, 5, 6, 7, 8, 9",annual,1,1 to 1.5 feet,6 to 8 inches,40 - 55 days,n/a,medium green,"cushion, mound, or clump",medium,Not native to North America - not known in the wild. Probably developed in cooler parts of Europe.,none,none,https://www.almanac.com/plant/turnips
